,STATE,variable,value
171,Andhra Pradesh,RIOTS,27459
172,Arunachal Pradesh,RIOTS,340
173,Assam,RIOTS,34963
174,Bihar,RIOTS,105096
175,Chandigarh,RIOTS,755
176,Chhattisgarh,RIOTS,10897
177,D & N Haveli,RIOTS,260
178,Daman & Diu,RIOTS,266
179,Goa,RIOTS,813
180,Gujarat,RIOTS,22192
181,Haryana,RIOTS,12656
182,Himachal Pradesh,RIOTS,7076
183,Jammu & Kashmir,RIOTS,16207
184,Jharkhand,RIOTS,28599
185,Karnataka,RIOTS,78421
186,Kerala,RIOTS,96274
187,Lakshadweep,RIOTS,153
188,Madhya Pradesh,RIOTS,31124
189,Maharashtra,RIOTS,90244
190,Manipur,RIOTS,851
191,Meghalaya,RIOTS,147
192,Mizoram,RIOTS,48
193,Nagaland,RIOTS,65
194,Odisha,RIOTS,20877
195,Puducherry,RIOTS,1785
196,Punjab,RIOTS,34
197,Rajasthan,RIOTS,36073
198,Sikkim,RIOTS,257
199,Tamil Nadu,RIOTS,37368
200,Tripura,RIOTS,2025
201,Uttar Pradesh,RIOTS,54110
202,Uttarakhand,RIOTS,5202
203,West Bengal,RIOTS,51154
204,A & N Islands,KIDNAPPING & ABDUCTION,94
205,Andhra Pradesh,KIDNAPPING & ABDUCTION,21239
206,Arunachal Pradesh,KIDNAPPING & ABDUCTION,857
207,Assam,KIDNAPPING & ABDUCTION,27939
208,Bihar,KIDNAPPING & ABDUCTION,37220
209,Chandigarh,KIDNAPPING & ABDUCTION,640
210,Chhattisgarh,KIDNAPPING & ABDUCTION,3345
211,D & N Haveli,KIDNAPPING & ABDUCTION,141
212,Daman & Diu,KIDNAPPING & ABDUCTION,31
213,Goa,KIDNAPPING & ABDUCTION,236
214,Gujarat,KIDNAPPING & ABDUCTION,15246
215,Haryana,KIDNAPPING & ABDUCTION,8656
216,Himachal Pradesh,KIDNAPPING & ABDUCTION,1798
217,Jammu & Kashmir,KIDNAPPING & ABDUCTION,9665
218,Jharkhand,KIDNAPPING & ABDUCTION,8476
219,Karnataka,KIDNAPPING & ABDUCTION,10029
220,Kerala,KIDNAPPING & ABDUCTION,2891
221,Lakshadweep,KIDNAPPING & ABDUCTION,1
222,Madhya Pradesh,KIDNAPPING & ABDUCTION,11958
223,Maharashtra,KIDNAPPING & ABDUCTION,15101
224,Manipur,KIDNAPPING & ABDUCTION,1811
225,Meghalaya,KIDNAPPING & ABDUCTION,729
226,Mizoram,KIDNAPPING & ABDUCTION,96
227,Nagaland,KIDNAPPING & ABDUCTION,392
228,Odisha,KIDNAPPING & ABDUCTION,9729
229,Puducherry,KIDNAPPING & ABDUCTION,169
230,Punjab,KIDNAPPING & ABDUCTION,7619
231,Rajasthan,KIDNAPPING & ABDUCTION,30727
232,Sikkim,KIDNAPPING & ABDUCTION,76
233,Tamil Nadu,KIDNAPPING & ABDUCTION,15303
234,Tripura,KIDNAPPING & ABDUCTION,1443
235,Uttar Pradesh,KIDNAPPING & ABDUCTION,59266
236,Uttarakhand,KIDNAPPING & ABDUCTION,2852
237,West Bengal,KIDNAPPING & ABDUCTION,25999
