STATE,Crime,value
Goa,OTHER IPC CRIMES,9948
Goa,OTHER RAPE,350
Goa,RAPE,350
Goa,TOTAL IPC CRIMES,32051
Gujarat,ARSON,5647
Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,8998
Gujarat,ATTEMPT TO MURDER,6112
Gujarat,CAUSING DEATH BY NEGLIGENCE,54385
Gujarat,CRUELTY BY HUSBAND OR HIS RELATIVES,59431
Gujarat,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,430
Gujarat,CUSTODIAL RAPE,0
Gujarat,DOWRY DEATHS,502
Gujarat,HURT/GREVIOUS HURT,135218
Gujarat,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0
Gujarat,INSULT TO MODESTY OF WOMEN,1365
Gujarat,KIDNAPPING & ABDUCTION,15246
Gujarat,MURDER,13775
Gujarat,OTHER IPC CRIMES,729684
Gujarat,OTHER RAPE,4249
Gujarat,RAPE,4249
Gujarat,TOTAL IPC CRIMES,1385775
Haryana,ARSON,1906
Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,5323
Haryana,ATTEMPT TO MURDER,7434
Haryana,CAUSING DEATH BY NEGLIGENCE,15197
Haryana,CRUELTY BY HUSBAND OR HIS RELATIVES,27112
Haryana,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,857
Haryana,CUSTODIAL RAPE,1
Haryana,DOWRY DEATHS,3130
Haryana,HURT/GREVIOUS HURT,51254
Haryana,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0
Haryana,INSULT TO MODESTY OF WOMEN,8188
Haryana,KIDNAPPING & ABDUCTION,8656
Haryana,MURDER,10471
Haryana,OTHER IPC CRIMES,224844
Haryana,OTHER RAPE,6409
Haryana,RAPE,6410
Haryana,TOTAL IPC CRIMES,595303
Himachal Pradesh,ARSON,1484
Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3597
Himachal Pradesh,ATTEMPT TO MURDER,835
Himachal Pradesh,CAUSING DEATH BY NEGLIGENCE,6309
Himachal Pradesh,CRUELTY BY HUSBAND OR HIS RELATIVES,3245
Himachal Pradesh,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,130
Himachal Pradesh,CUSTODIAL RAPE,0
Himachal Pradesh,DOWRY DEATHS,55
Himachal Pradesh,HURT/GREVIOUS HURT,15909
Himachal Pradesh,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0
Himachal Pradesh,INSULT TO MODESTY OF WOMEN,439
Himachal Pradesh,KIDNAPPING & ABDUCTION,1798
Himachal Pradesh,MURDER,1454
Himachal Pradesh,OTHER IPC CRIMES,87178
Himachal Pradesh,OTHER RAPE,1804
Himachal Pradesh,RAPE,1804
Himachal Pradesh,TOTAL IPC CRIMES,154948
Jammu & Kashmir,ARSON,3166
Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,11509
Jammu & Kashmir,ATTEMPT TO MURDER,10303
Jammu & Kashmir,CAUSING DEATH BY NEGLIGENCE,4524
Jammu & Kashmir,CRUELTY BY HUSBAND OR HIS RELATIVES,1800
Jammu & Kashmir,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,347
Jammu & Kashmir,CUSTODIAL RAPE,0
Jammu & Kashmir,DOWRY DEATHS,135
Jammu & Kashmir,HURT/GREVIOUS HURT,3883
Jammu & Kashmir,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0
Jammu & Kashmir,INSULT TO MODESTY OF WOMEN,3993
Jammu & Kashmir,KIDNAPPING & ABDUCTION,9665
Jammu & Kashmir,MURDER,6304
Jammu & Kashmir,OTHER IPC CRIMES,132921
Jammu & Kashmir,OTHER RAPE,2810
Jammu & Kashmir,RAPE,2810
Jammu & Kashmir,TOTAL IPC CRIMES,259155
Jharkhand,ARSON,2012
Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3985
Jharkhand,ATTEMPT TO MURDER,12270
Jharkhand,CAUSING DEATH BY NEGLIGENCE,13612
Jharkhand,CRUELTY BY HUSBAND OR HIS RELATIVES,8409
Jharkhand,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,1231
Jharkhand,CUSTODIAL RAPE,5
Jharkhand,DOWRY DEATHS,3291
Jharkhand,HURT/GREVIOUS HURT,40237
Jharkhand,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,145
Jharkhand,INSULT TO MODESTY OF WOMEN,247
Jharkhand,KIDNAPPING & ABDUCTION,8476
Jharkhand,MURDER,19060
Jharkhand,OTHER IPC CRIMES,154239
Jharkhand,OTHER RAPE,9154
Jharkhand,RAPE,9159
Jharkhand,TOTAL IPC CRIMES,422351
Karnataka,ARSON,3711
Karnataka,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,23699
Karnataka,ATTEMPT TO MURDER,18512
Karnataka,CAUSING DEATH BY NEGLIGENCE,5078
Karnataka,CRUELTY BY HUSBAND OR HIS RELATIVES,30052
Karnataka,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,857
Karnataka,CUSTODIAL RAPE,2
Karnataka,DOWRY DEATHS,2918
Karnataka,HURT/GREVIOUS HURT,251332
Karnataka,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,47
Karnataka,INSULT TO MODESTY OF WOMEN,831
Karnataka,KIDNAPPING & ABDUCTION,10029
Karnataka,MURDER,19937
Karnataka,OTHER IPC CRIMES,681336
Karnataka,OTHER RAPE,5172
Karnataka,RAPE,5174
Karnataka,TOTAL IPC CRIMES,1481063
Kerala,ARSON,5580
Kerala,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,31490
Kerala,ATTEMPT TO MURDER,5327
Kerala,CAUSING DEATH BY NEGLIGENCE,489
Kerala,CRUELTY BY HUSBAND OR HIS RELATIVES,46074
Kerala,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,1897
Kerala,CUSTODIAL RAPE,0
Kerala,DOWRY DEATHS,301
Kerala,HURT/GREVIOUS HURT,232451
Kerala,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0
Kerala,INSULT TO MODESTY OF WOMEN,3304
Kerala,KIDNAPPING & ABDUCTION,2891
Kerala,MURDER,4733
Kerala,OTHER IPC CRIMES,829883
Kerala,OTHER RAPE,7447
Kerala,RAPE,7447
Kerala,TOTAL IPC CRIMES,1437459
Lakshadweep,ARSON,22
Lakshadweep,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,5
Lakshadweep,ATTEMPT TO MURDER,6
Lakshadweep,CAUSING DEATH BY NEGLIGENCE,0
Lakshadweep,CRUELTY BY HUSBAND OR HIS RELATIVES,7
Lakshadweep,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,0
Lakshadweep,CUSTODIAL RAPE,0
Lakshadweep,DOWRY DEATHS,0
Lakshadweep,HURT/GREVIOUS HURT,57
Lakshadweep,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0
Lakshadweep,INSULT TO MODESTY OF WOMEN,0
Lakshadweep,KIDNAPPING & ABDUCTION,1
Lakshadweep,MURDER,3
Lakshadweep,OTHER IPC CRIMES,327
Lakshadweep,OTHER RAPE,7
Lakshadweep,RAPE,7
Lakshadweep,TOTAL IPC CRIMES,743
Madhya Pradesh,ARSON,10354
Madhya Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,79878
Madhya Pradesh,ATTEMPT TO MURDER,29458
Madhya Pradesh,CAUSING DEATH BY NEGLIGENCE,64969
Madhya Pradesh,CRUELTY BY HUSBAND OR HIS RELATIVES,39969
Madhya Pradesh,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,1834
Madhya Pradesh,CUSTODIAL RAPE,1
Madhya Pradesh,DOWRY DEATHS,9036
Madhya Pradesh,HURT/GREVIOUS HURT,412577
Madhya Pradesh,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,60
Madhya Pradesh,INSULT TO MODESTY OF WOMEN,9317
Madhya Pradesh,KIDNAPPING & ABDUCTION,11958
